n_test,n_finite,R2,RMSE,MAE,Pearson,Spearman,Top20_precision,valid_prediction,model,evaluation,target_scale,repeat,split_name,n_support,n_query
21,21,0.07186750670677022,0.2168859064204062,0.19003538143871632,0.4460561712507401,0.20129870129870128,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,9,random_repeated,83,21
21,21,0.03213397307361088,0.2885756800133016,0.20646328909233921,0.7130801042728632,0.7779220779220779,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,9,random_repeated,83,21
21,21,-4.5447742220173496e+21,14936411136.487427,14936411136.48743,,,0.0,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,10,random_repeated,83,21
21,21,-1.6923460896751691e+22,36995928064.47848,36995928064.478485,,,0.0,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,10,random_repeated,83,21
21,21,-4.360659529719797e+35,1.4630736629404934e+17,1.462330008626416e+17,0.6051768791305725,0.6077922077922078,0.8,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,10,random_repeated,83,21
21,21,-7.080343975076049e+33,2.3929659206939332e+16,2.3887431586096276e+16,0.6265449827422959,0.6194805194805195,0.8,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,10,random_repeated,83,21
21,21,-1.4349553194405715e+54,2.6540511724999905e+26,2.6495988316811984e+26,0.6356012266528046,0.5714285714285714,0.4,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,10,random_repeated,83,21
21,21,-2.2259782061957224e+54,4.242968320542392e+26,4.2350738655946344e+26,0.6307925820318293,0.6506493506493506,0.4,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,10,random_repeated,83,21
21,21,0.24093717447706942,0.19303184615801736,0.16013338741563046,0.5083067125109341,0.4194805194805195,0.6,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,10,random_repeated,83,21
21,21,0.04622357604224303,0.277736287969711,0.19299739368614696,0.66773949337419,0.7441558441558441,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,10,random_repeated,83,21
21,21,-1.587366036222985e+42,3.120691065594603e+20,3.110859055095207e+20,0.48301180421774564,0.41298701298701296,0.2,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,11,random_repeated,83,21
21,21,-1.933938457200835e+18,440571840.5389194,440571840.5389193,,,0.0,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,11,random_repeated,83,21
