sample_index,candidate_id,actual,predicted,prediction_sd_across_models,n_models,model
82,R1-17（R3-28）,0.35518158247976145,0.42604143279097245,0.008156100425497921,3,PrimaryTreeEnsemble
83,R1-19 （R3-29）,0.4363562940751377,0.2394618012683011,0.0217197688247843,3,PrimaryTreeEnsemble
84,R4-01,1.0000000001541716,0.7687611855374037,0.017270852384036448,3,PrimaryTreeEnsemble
85,R4-02,0.76035675302239,0.8802793273961903,0.006126631907734329,3,PrimaryTreeEnsemble
86,R4-03,0.8691860123554722,0.7836278509972812,0.01469171480767314,3,PrimaryTreeEnsemble
87,R4-04,0.7716784767680998,0.7639695522463228,0.014576987276263347,3,PrimaryTreeEnsemble
88,R4-05,0.7501729079419943,0.609846208651283,0.06484720416014378,3,PrimaryTreeEnsemble
89,R4-07,0.7603784272900662,0.7051195330755958,0.01072786606212398,3,PrimaryTreeEnsemble
90,R4-08,0.7230486216197674,0.743625560166476,0.02431320306119537,3,PrimaryTreeEnsemble
91,R4-09,0.8174858560708692,0.7412113967002952,0.015290981071457902,3,PrimaryTreeEnsemble
92,R4-10,0.7916862503095949,0.7052041783165494,0.0257767815316653,3,PrimaryTreeEnsemble
93,R4-12,0.665395662177569,0.6826702513937807,0.022144340475973693,3,PrimaryTreeEnsemble
94,R4-14,0.5959327298672837,0.5797669273534924,0.00726658571929052,3,PrimaryTreeEnsemble
95,R4-16,0.6312590671234484,0.46870148746001755,0.04166636982183864,3,PrimaryTreeEnsemble
96,R4-22,0.7075935264945827,0.5283015585161661,0.06949528975310415,3,PrimaryTreeEnsemble
97,R4-23,0.624819414195981,0.4378949004199708,0.06598864661171962,3,PrimaryTreeEnsemble
98,R4-25 （R3-11）,0.7374909784281607,0.7326327967620502,0.006152918311210545,3,PrimaryTreeEnsemble
99,R4-26 （R3-09）,0.7521442353995029,0.5889006963460314,0.040782740394551854,3,PrimaryTreeEnsemble
100,R4-27,0.8899457183347337,0.6988410353910638,0.019495464651465642,3,PrimaryTreeEnsemble
